Movie_ID,Year,Name,Genre
174,1898,Výstavní párkar a lepic plakátù,"Short, Comedy"
175,1896,A Sea Cave Near Lisbon,"Documentary, Short"
176,1898,Brittania,Short
177,1898,The Burglar on the Roof,"Short, Crime"
178,1898,The Cavalier's Dream,"Short, Horror"
179,1898,The Cave of the Demons,"Short, Horror"
180,1898,Le chemin de croix,Short
181,1898,Cinderella,"Short, Fantasy"
182,1898,"Come Along, Do!","Short, Comedy"
183,1898,The Corsican Brothers,"Short, Drama"
184,1899,Cripple Creek Bar-Room Scene,"Western, Short"
185,1898,La crèche à Bethléem,Short
186,1898,Le cuirassé Maine,"Short, War"
187,1898,La cène,Short
188,1898,The Deserter,"Short, Drama"
189,1898,Dorotea,Short
190,1898,Dostavenícko ve mlýnici,"Short, Comedy"
191,1898,Déménagement à la cloche de bois,Short
192,1898,"Ella Lola, a la Trilby",Short
193,1898,L'entrée à Jérusalem,Short
194,1898,Express Train on a Railway Cutting,"Documentary, Short"
195,1898,Les farces de Jocko,"Short, Comedy"
196,1898,Faust and Mephistopheles,"Short, Fantasy"
197,1898,La flagellation,Short
198,1898,La fuite en Égypte,Short
199,1898,Glasgow Fire Engine,Short
200,1898,Gran corrida de toros,"Documentary, Short, Sport"
201,1894,Indian War Council,"Short, News"
202,1898,Le jardin des oliviers,Short
203,1898,Je vous y prrrrends!,Short
204,1898,Jésus devant Pilate,Short
205,1898,Leçons de boxe,"Short, Comedy, Sport"
206,1898,"Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona","Documentary, Short"
207,1898,London Express,"Documentary, Short"
208,1897,The Miller and Chimney Sweep,"Comedy, Short"
209,1898,Photographing a Ghost,"Short, Horror"
210,1898,A Novice at X-rays,Short
211,1898,"The Astronomer's Dream; or, The Man in the Moon","Short, Comedy, Fantasy, Horror, Sci-Fi"
212,1898,Saida do Paquete Duque de Braganca,Short
213,1898,Scène d'escamotage,Short
214,1898,Tearing Down the Spanish Flag,"Short, War"
215,1898,Smích a plác,"Short, Documentary"
216,1898,Visita de Doña María Cristina y Alfonso XIII a Barcelona,"Short, News"
217,1898,Waves and Spray,Short
218,1899,L'affaire Dreyfus,"Short, Biography, Drama"
219,1899,Aladdin and the Wonderful Lamp,"Short, Fantasy"
220,1901,The Artist and the Flower Girl,"Short, Romance"
221,1899,Aspectos da Praia de Cascais,"Documentary, Short"
222,1899,Au cabaret,"Short, Comedy"
223,1899,L'aveugle,Short
224,1899,Battlefield,Short
225,1899,Beauty and the Beast,"Short, Family, Fantasy, Romance"
226,1899,Boat Race,Short
227,1899,Bombardment of Mafeking,"Short, Drama, War"
228,1899,La bonne absinthe,Short
229,1899,Casey at the Bat,"Short, Sport"
230,1899,Cinderella,"Short, Drama, Family, Fantasy, Romance"
231,1896,Portuguese Railway Train,"Documentary, Short"
